sim_time,FL_HipX_pos,FL_HipY_pos,FL_Knee_pos,FR_HipX_pos,FR_HipY_pos,FR_Knee_pos,HL_HipX_pos,HL_HipY_pos,HL_Knee_pos,HR_HipX_pos,HR_HipY_pos,HR_Knee_pos,FL_HipX_vel,FL_HipY_vel,FL_Knee_vel,FR_HipX_vel,FR_HipY_vel,FR_Knee_vel,HL_HipX_vel,HL_HipY_vel,HL_Knee_vel,HR_HipX_vel,HR_HipY_vel,HR_Knee_vel
155.93800000038053,0.07604712875058108,0.09173481247893805,1.057027723068927,-0.062198368633524605,0.3067397947188223,0.9779023886950753,-0.02653611464760566,-0.3282309862999235,1.040552623474171,-0.000465286386595938,-0.038698552925972796,1.1362347651045472,-0.01680909743651002,1.0640876121786442,0.8116186036845431,0.05400857425753507,-1.8639294097393289,-0.2789612381440198,0.004859359125482236,1.6961826967828704,-0.1255510904339881,0.049362680813192276,-1.0468163413569729,0.8797207504688515
155.94300000038055,0.075953912083308,0.09699383922739492,1.0612285378821653,-0.06193843075092513,0.2975072127427658,0.9767514415760394,-0.0264828455631261,-0.31974451249363195,1.0399751402064767,-0.00020757232469985438,-0.043633423022911795,1.1411189306452856,-0.019830038093620318,1.0527354181203656,0.8472369378105122,0.05051327732479672,-1.8341646150332944,-0.19883124868262664,0.015006276850033716,1.696606180509799,-0.10748214658163396,0.05233975724613712,-0.9389682029354948,1.0532427126699375
155.94800000038057,0.0758284338042181,0.10219929666403395,1.065465784721533,-0.06171368388013057,0.28849429236260055,0.9759351893280312,-0.026372474735741384,-0.3113813196845391,1.039540517744276,8.603069809119356e-05,-0.047836548366035514,1.1469903252712284,-0.029516045263222244,1.0300710948682394,0.8440607291080416,0.04035168879247704,-1.7778576975453677,-0.1427610328422802,0.026996294600857763,1.6501424349588825,-0.070809913310656,0.06498688826586904,-0.768500856610576,1.255699578364727
155.9530000003806,0.07562300153453293,0.10722973720817504,1.0696071517187218,-0.06156388687890478,0.27983836376176685,0.975332496861977,-0.026190805115473337,-0.3033813255600625,1.0393318170924863,0.0004975786236972946,-0.05105548214305399,1.1538839900434206,-0.049891954527791785,0.9883565296900876,0.8143692793534869,0.022270842888938738,-1.6974501826972588,-0.10822938168836746,0.04295834257056986,1.5619783378919947,-0.020928683483827995,0.09591319507625186,-0.5565611011421117,1.4603226753670393
155.95800000038062,0.07526546364558707,0.11202627684470379,1.073532822572834,-0.06153477737315498,0.27161854197828245,0.9748628707260976,-0.025877083618101177,-0.2958995584471678,1.0393907452497835,0.0011518028882697515,-0.053221603378071185,1.161713136542485,-0.08757909813297862,0.9396699942066858,0.7633048920401605,-0.006023982883763574,-1.608093807767371,-0.08561064988296027,0.07826717254940536,1.4506999670073657,0.03375351415313353,0.1578984102335145,-0.35507088928014285,1.6297356609485312
155.96300000038065,0.07474376133151775,0.11658010589464507,1.077256016439928,-0.061628476921653914,0.26378097481904966,0.9744853484523375,-0.025405501007895,-0.28890776838553417,1.0396797180898028,0.002111249188780807,-0.0545583622147836,1.1702096977584036,-0.11348257929597683,0.8920162011415255,0.7356499083015519,-0.025812458032387315,-1.5440384581928255,-0.06933011820683131,0.10308169914294958,1.3678032826888906,0.07157255368343819,0.21260595349929468,-0.21679596724377806,1.7387884759936085
155.96800000038067,0.0740155370932728,0.12199010686118184,1.0778640231312602,-0.06173329128524702,0.2565673361287219,0.9747885590503632,-0.024915017957690164,-0.28300978004348826,1.041448961857482,0.0028424611900247643,-0.05638229595124977,1.1764485819908381,-0.19882104451339683,1.2133814608738092,-0.3264407160659707,-0.015655109891752866,-1.3595446255261616,0.17116734601547945,0.08782918929712484,1.0245679291155816,0.5983078964305922,0.06804123676865434,-0.5042762070697874,0.8085312000699172
155.9730000003807,0.07234869780919669,0.1285018339226233,1.0739911602046646,-0.06181193984585675,0.2502348062516185,0.9760200136393432,-0.02458382395373925,-0.27873700474691504,1.0456371201666599,0.0025765286711810155,-0.059991377518947404,1.1767859535972856,-0.43380667837119674,1.3456760080316883,-1.0471587599785437,-0.01775478835917284,-1.2122125774014452,0.27150380598039525,0.0503263683253661,0.7572775414269024,0.9635288761965708,-0.15951843791167905,-0.8089792787561452,-0.3260881303799985
155.97800000038072,0.06937293706284726,0.1353484369979997,1.0670409425570995,-0.06193342843991586,0.24451752381332117,0.9773193312804749,-0.02445389311131148,-0.2755458976864133,1.0510621029902643,0.0010431043568867719,-0.064611100912309,1.172145287087395,-0.7047735119563832,1.373524555955116,-1.5994348020698188,-0.02913434320472827,-1.1001493385796641,0.2409741771452697,0.009622555540779737,0.5672131960806627,1.1473800981827698,-0.4234680858221774,-0.9507423008398457,-1.2410789620886162
155.98300000038074,0.0650203189679716,0.14209355226519751,1.0576951359049227,-0.062117091938959874,0.23934207662263032,0.9783017960294891,-0.02451894807912758,-0.2731829665797361,1.0570800568621603,-0.0017768372950603259,-0.06966457177926959,1.163232943524809,-0.9789516490567147,1.3228330900046197,-2.03187516769522,-0.040717475293486814,-0.9921046423671772,0.16213102547846187,-0.030236362415891303,0.41487374540507166,1.2295327572625308,-0.6767383221464898,-1.0010709640721094,-2.052600339188479
