elapsed_time_sec,received_time_sec,joint_0_torque_nm,joint_1_torque_nm,joint_2_torque_nm,joint_3_torque_nm,joint_4_torque_nm,joint_5_torque_nm,joint_6_torque_nm,joint_7_torque_nm,joint_8_torque_nm,joint_9_torque_nm,joint_10_torque_nm,joint_11_torque_nm
0.0,1773236629.007506,-26.53418848707529,6.62226216143046,42.05259974656646,-30.103384005431888,5.443070868323688,47.87954112178318,16.767809289400287,11.663283623466672,51.54737525753324,35.387853244860096,6.053687344798146,53.24010788435468
0.006297128,1773236629.013803,-26.535395670860666,6.613231224427272,42.05497994999708,-30.095721349222057,5.432566244824497,47.869849386292934,16.771622199526572,11.653688975335914,51.542582240195095,35.38151196929835,6.042204286984072,53.221503485115825
0.012115779,1773236629.0196216,-26.536603724264744,6.604199803138883,42.05736227248895,-30.088055504808334,5.422060771636377,47.860150717378126,16.775432725834367,11.644098091337282,51.537795785644555,35.37517560534449,6.0307243807744495,53.20289372907704
0.018120631,1773236629.0256267,-26.53780416509216,6.595140397382609,42.05974003261153,-30.08036904232734,5.411520703540421,47.850426888448055,16.779256009596562,11.634478577060733,51.532997217429426,35.368855137292684,6.019208032259321,53.18423809526056
0.024230828,1773236629.0317366,-26.539000938338468,6.586064358768599,42.06211427687126,-30.072669208890634,5.4009604066822305,47.84068677182676,16.78308619619956,11.624843487620696,51.52819318738589,35.36254482017872,6.007672103430902,53.16555653607969
0.030289578,1773236629.0377953,-26.540196798057384,6.576980416921899,42.064486153155165,-30.06496144790849,5.3903907694251005,47.83093697036632,16.78691881202358,11.615202908825484,51.52338890927617,35.356240773824126,5.996129331318681,53.1468636004857
0.037415932,1773236629.0449219,-26.54154103047552,6.56924948983777,42.06750121129585,-30.05769586516236,5.381240247157024,47.82205768471223,16.79055404424511,11.60699362761457,51.51959288309431,35.35033123827763,5.9861233334043655,53.12950342350344
0.04309547,1773236629.0506015,-26.542887606160033,6.561522628642045,42.07051636045693,-30.050429573442972,5.372095072202692,47.81317729746579,16.79418561583748,11.598792830889053,51.515804081662495,35.34442362317949,5.976127663959873,53.112150061657516
0.048269171,1773236629.055775,-26.544237423375545,6.5538037985138455,42.07353274476584,-30.043164911261904,5.362960042738456,47.804298444259146,16.797811492461257,11.59060518574318,51.51202511732797,35.338516769665915,5.9661479079870565,53.094808881984136
0.054505621,1773236629.0620115,-26.545591159859715,6.546095840671158,42.07655134024296,-30.03590371884178,5.353838603502165,47.795422936062316,16.801430057828522,11.58243402416569,51.508257901329976,35.33260981427084,5.9561880309821,53.077483445784495
