elapsed_simulation_time_sec,simulation_time_sec,LF_HAA_position_rad,LF_HFE_position_rad,LF_KFE_position_rad,LH_HAA_position_rad,LH_HFE_position_rad,LH_KFE_position_rad,RF_HAA_position_rad,RF_HFE_position_rad,RF_KFE_position_rad,RH_HAA_position_rad,RH_HFE_position_rad,RH_KFE_position_rad
0.0,18.21499999999928,0.23481790409575393,0.19578583556865636,-1.0115199973517837,0.22509577152870955,0.17404531117694286,-1.0277541852041487,-0.23100784682271086,0.18206414804619353,-1.012524615714009,-0.2202052540399831,0.18104768088816742,-1.0254741151900184
0.005000000000006111,18.219999999999285,0.2348191090424085,0.19578401532526674,-1.0115195497629998,0.22509737150216286,0.17404680812998397,-1.02775204191664,-0.2310079327697856,0.18206226614511278,-1.0125233301349947,-0.22020494604298294,0.18104781917624982,-1.0254718187153047
0.010000000000012221,18.22499999999929,0.23481905582430446,0.19578463309609423,-1.0115200111607277,0.2250972783299404,0.17404766080865197,-1.0277529115468536,-0.2310078903355178,0.18206288983908203,-1.012523797551763,-0.22020486386770619,0.1810486754948073,-1.0254727022954153
0.015000000000018332,18.229999999999297,0.23481900260620042,0.19578525086692167,-1.0115204725584552,0.22509718515771793,0.17404851348731995,-1.0277537811770672,-0.23100784790124998,0.18206351353305125,-1.012524264968531,-0.2202047816924294,0.18104953181336475,-1.0254735858755262
0.020000000000024443,18.234999999999303,0.2348189493880964,0.19578586863774916,-1.011520933956183,0.2250970919854955,0.17404936616598796,-1.0277546508072808,-0.23100780546698219,0.18206413722702053,-1.0125247323852993,-0.22020469951715269,0.1810503881319222,-1.025474469455637
0.025000000000030553,18.23999999999931,0.23481800877556702,0.19578720173884545,-1.0115226318128416,0.22509602938171575,0.17405129821967674,-1.0277573681894647,-0.2310083295635121,0.18206578816494218,-1.0125270267617978,-0.22020516621607372,0.1810525899659617,-1.0254777369790666
0.030000000000036664,18.244999999999315,0.23481910609821566,0.19578497981962825,-1.0115223685071766,0.22509750272504905,0.17405257927194728,-1.0277560351506465,-0.23100837033490737,0.18206351700528972,-1.0125259422553339,-0.2202048007159208,0.18105249205123825,-1.0254761638752021
0.035000000000042775,18.24999999999932,0.2348190157642643,0.19578553186863096,-1.0115231131281504,0.22509742255396117,0.17405310429175386,-1.027756714955689,-0.231008303421624,0.1820640823248492,-1.0125267018579853,-0.22020474308108018,0.18105302673341744,-1.0254768659068576
0.040000000000048885,18.254999999999328,0.2348189254303129,0.1957860839176337,-1.0115238577491241,0.22509734238287332,0.1740536293115604,-1.0277573947607315,-0.23100823650834063,0.18206464764440866,-1.0125274614606365,-0.2202046854462395,0.18105356141559661,-1.0254775679385126
0.045000000000054996,18.259999999999334,0.23481883509636156,0.1957866359666364,-1.011524602370098,0.22509726221178547,0.17405415433136698,-1.027758074565774,-0.2310081695950573,0.1820652129639682,-1.012528221063288,-0.22020462781139888,0.1810540960977758,-1.025478269970168
0.05000000000006111,18.26499999999934,0.23481798318292146,0.1957874814373117,-1.0115256368936572,0.22509630219341448,0.17405549846603036,-1.027759966814648,-0.2310087439007661,0.182066371722029,-1.012529850001419,-0.22020515654888717,0.1810557136332174,-1.025480710412259
