elapsed_simulation_time_sec,simulation_time_sec,LF_HAA_torque_nm,LF_HFE_torque_nm,LF_KFE_torque_nm,LH_HAA_torque_nm,LH_HFE_torque_nm,LH_KFE_torque_nm,RF_HAA_torque_nm,RF_HFE_torque_nm,RF_KFE_torque_nm,RH_HAA_torque_nm,RH_HFE_torque_nm,RH_KFE_torque_nm
0.0,317.287999999409,-0.8480872626127125,-0.2192023297603205,0.08087456249256056,5.671464771573106,0.07108875181900798,-5.709534040961053,-5.5645501587938515,0.027944561278248237,-5.3283642800200735,0.8067813573432461,-0.18984888458515908,0.08597860909829025
0.005999999999858119,317.29399999940887,-0.9870822866877887,-0.24907109416850284,0.09857458968699931,5.716890077291236,0.07150773737723193,-5.796425460541004,-5.636687542700002,0.04912016315860063,-5.296432472791218,0.9277437574034605,-0.2116007342491637,0.10501359858360901
0.011999999999716238,317.2999999994087,-1.04481360766396,-0.27111261638260065,0.10649629323354012,5.807869133615911,0.027908469050531126,-5.879837203526311,-5.6913212635969606,0.012587076328288524,-5.387167154877339,0.958664928599379,-0.23085566509436145,0.1123668935127551
0.017999999999574356,317.3059999994086,-1.0576224020643643,-0.2768495230129725,0.09581203742170162,5.890235678749593,-0.016978901025830995,-5.962868324640409,-5.742295226292727,-0.023938837721942843,-5.4775822749722884,0.9503927582311328,-0.23431475294971943,0.09863758929226715
0.023999999999432475,317.31199999940844,-1.0735431257977563,-0.2924618117423677,0.09973759758588577,5.963818645805655,-0.064470127527402,-6.037772889100603,-5.7859072043516075,-0.06868648728222464,-5.570676478010485,0.9430915620295284,-0.2480950972784831,0.10152785084871399
0.029999999999290594,317.3179999994083,-1.0997973550356652,-0.31188539526514153,0.1067137904730848,6.000000000000752,-0.11263425777167338,-6.097395977752653,-5.817674798921723,-0.12000916799119053,-5.663911950094942,0.9519820855077035,-0.26486705622965045,0.10913658261967289
0.03599999999914871,317.32399999940816,-1.2353749210909184,-0.33511980704011973,0.12464809199557145,6.000000000000281,-0.06909619876332956,-6.263105886703396,-5.82927973400226,-0.11864278219405058,-5.61513355098009,1.1008789509657253,-0.2924214547946218,0.12810798671582385
0.04199999999900683,317.329999999408,-1.2855116027543816,-0.3621407858237469,0.13072496813122875,5.999999999999784,-0.17764291742993601,-6.262448480362386,-5.902764933687346,-0.2238208106289429,-5.772854500883163,1.07080007683271,-0.30142309698326514,0.12036545984383386
0.04799999999886495,317.3359999994079,-1.230181436235501,-0.38077987350485754,0.10247316829651261,5.999999999999365,-0.28815927332460345,-6.26477319476241,-5.965296742351978,-0.3314323456769674,-5.931338976012323,0.9267665231228773,-0.28433345654222936,0.0879880303285475
0.05399999999872307,317.34199999940773,-1.137790907073632,-0.38378760310137866,0.07274064482406606,6.000000000000189,-0.34743829686564714,-6.268980846189267,-5.995374109723523,-0.3880881256141205,-6.013518956382302,0.8205131953454332,-0.26678913034236973,0.06673217488833877
0.05999999999858119,317.3479999994076,-1.0599751211489725,-0.3754401825798734,0.05256829684620949,5.999999999998856,-0.3549849120835173,-6.273746382021734,-5.987421484288689,-0.3927691038666581,-6.017427268957441,0.7484417798256405,-0.24560892952261792,0.051360075874259774
0.06599999999843931,317.35399999940745,-0.9179344633907146,-0.25668968038148426,0.1232701941475049,3.2747328390093364,-0.46948156546323916,-3.515120575107227,-2.3656840667544747,-0.46795670506879544,-2.622259918282891,0.542780302131328,-0.22841752976932084,0.09438917239231667
0.07199999999829743,317.3599999994073,1.982094157271706,-0.4373977648464031,-2.668982359801391,2.9213658323008254,-0.48128435913346695,-3.4999301223456767,-1.8008958396895882,-0.4848917058526683,-2.5925814147544055,-2.951464944844669,-0.6430980071065149,-3.653388435570136
0.07799999999815554,317.36599999940717,2.0064240331128955,-0.4293413090835129,-2.6957715524344668,2.932867519165451,-0.4685847523518505,-3.5118721108897137,-1.8393430933811492,-0.4665236557786177,-2.612473202740745,-2.9627177106368467,-0.6155573830234115,-3.656382531185318
0.08399999999801366,317.371999999407,2.0300374979027245,-0.42373534379957106,-2.7236957634945624,2.9478958007129634,-0.459795731807592,-3.530631648124845,-1.8748339129922535,-0.45236661798398914,-2.6360881321504674,-2.97533112098877,-0.5930522804663524,-3.6618563391911305
0.08999999999787178,317.3779999994069,2.0514206999156657,-0.42024571757557594,-2.750501527380349,2.9663895212774443,-0.45507193627282666,-3.5536758587390667,-1.90852462000825,-0.44163320509776505,-2.6596351034726493,-2.988222511458974,-0.5743915460067236,-3.6659440575131663
0.0959999999977299,317.38399999940674,2.0685840897173167,-0.5444844180820331,-2.9185273144777897,3.19926820143627,-0.6316559958172643,-3.8602989312940474,-1.999453947937187,-0.5079905645648038,-2.806293693601878,-3.159429376494881,-0.6789257672490415,-3.913307083832507
0.10199999999758802,317.3899999994066,2.0731469158469764,-0.528191119480589,-2.9133442437998114,3.2011383016363073,-0.6096156284279289,-3.86253772085053,-2.014037110833623,-0.48833511285842957,-2.7945603190025263,-3.1558303252697413,-0.6484662431108087,-3.8908070631014384
0.10799999999744614,317.39599999940646,2.077029771789058,-0.5118283377653043,-2.908051866924297,3.2028815440386724,-0.5873736232229614,-3.8639274042163976,-2.029122752383416,-0.4678616093497574,-2.7812968320292124,-3.1513351681858537,-0.6168622856180734,-3.8674006210526644
0.11399999999730426,317.4019999994063,2.081289226248991,-0.4979644777537494,-2.906430800464881,3.2092281927911404,-0.569182493078021,-3.8730947175011714,-2.045107399687184,-0.4499788487281481,-2.7710787174079474,-3.1537711950293135,-0.5896244139034071,-3.852788356499822
0.11999999999716238,317.4079999994062,2.086062834455406,-0.4867664020643258,-2.9086313777776422,3.2203008666846125,-0.5552749171442464,-3.8902102967921888,-2.06188578877145,-0.4350107166020117,-2.764179293457206,-3.163400828288005,-0.56715968942001,-3.847371700523413
0.1259999999970205,317.41399999940603,2.0220800899678166,-0.5744362209754121,-3.0748278989605917,3.440535670271601,-0.7059322772548281,-4.212123494623513,-2.2295047073268237,-0.3365335280977055,-2.704334295985478,-3.2166383072589015,-0.42494347598957327,-3.844820134165383
0.13199999999687861,317.4199999994059,2.036641297320213,-0.5545735131512152,-3.0659552661103504,3.441087836413728,-0.6780875282203513,-4.21628648011356,-2.2192809053610043,-0.33624526772285745,-2.6963649352014247,-3.227395354279941,-0.4235771441959108,-3.8451070538834333
0.13799999999673673,317.42599999940575,2.051767768337324,-0.5341290527333198,-3.056580840439788,3.4406470694597084,-0.6491733695294183,-4.219200739783262,-2.208430618105286,-0.3358971842764108,-2.6881088737099974,-3.2383565742205445,-0.42233826010421116,-3.8454339234299373
0.14399999999659485,317.4319999994056,2.0772095920857825,-0.5183694577021538,-3.0641594583135725,3.4680917613557174,-0.625371832803276,-4.245705749653146,-2.1870962986104847,-0.3362956528832902,-2.6667131809541185,-3.2310224398809373,-0.4230177033160243,-3.8315877680028123
0.14999999999645297,317.43799999940546,2.112721849029792,-0.5074604083467413,-3.0888904817910636,3.5240318087493625,-0.6070521737708467,-4.295847524085764,-2.1555085801965697,-0.33739682671276583,-2.632096509561977,-3.2053125333486774,-0.4255342358119792,-3.80356979336631
0.1559999999963111,317.4439999994053,2.165476512633022,-0.5006356356457774,-3.3248588751483443,4.10151877074711,-0.6441979168143482,-5.141635807693769,-2.237070045509822,-0.2323417336140262,-2.4366276222533365,-3.570737716668272,-0.29457352186453156,-4.0608951136512905
