elapsed_simulation_time_sec,simulation_time_sec,LF_HAA_speed_rad_per_sec,LF_HFE_speed_rad_per_sec,LF_KFE_speed_rad_per_sec,LH_HAA_speed_rad_per_sec,LH_HFE_speed_rad_per_sec,LH_KFE_speed_rad_per_sec,RF_HAA_speed_rad_per_sec,RF_HFE_speed_rad_per_sec,RF_KFE_speed_rad_per_sec,RH_HAA_speed_rad_per_sec,RH_HFE_speed_rad_per_sec,RH_KFE_speed_rad_per_sec
0.0,22.72600000000479,0.0008385997696759692,0.001617933998148824,-0.0007710822466173032,0.001349773613603571,0.0030602743543456045,-0.003535262718902365,0.0007647014311685955,0.0017321681197949605,-0.0001038478025000367,0.0009423495187856618,0.0031515000877749846,-0.00320252974932059
0.0030000000000036664,22.729000000004795,0.0007494302225500665,0.0015722037644288892,-0.0008330808329914186,0.0012549344069658656,0.0029382681028011616,-0.0034377363875839717,0.00066373815631031,0.00167616615610493,-0.00015472457743954227,0.0008585638258701964,0.0030327430230468726,-0.003103740105425094
0.006000000000007333,22.7320000000048,0.0006602606754241637,0.0015264735307089542,-0.0008950794193655343,0.0011600952003281602,0.0028162618512567192,-0.0033402100562655787,0.0005627748814520245,0.0016201641924148994,-0.00020560135237904784,0.0007747781329547309,0.0029139859583187603,-0.0030049504615295985
0.009000000000011,22.735000000004803,0.0005710911282982609,0.0014807432969890194,-0.0009570780057396498,0.0010652559936904548,0.0026942555997122764,-0.0032426837249471857,0.0004618116065937388,0.0015641622287248685,-0.0002564781273185534,0.0006909924400392655,0.0027952288935906484,-0.002906160817634103
0.012000000000014666,22.738000000004806,0.00048192158117296756,0.0014350130632691611,-0.0010190765921137491,0.0009704167870532701,0.002572249348167978,-0.0031451573936289315,0.00036084833173607837,0.001508160265034886,-0.0003073549022580997,0.0006072067471243132,0.002676471828862602,-0.002807371173738694
0.015000000000018332,22.74100000000481,0.0004956750750826879,0.0014022488027058346,-0.0010783521192998854,0.0009634807582449956,0.002474583062302215,-0.0030711258980659923,0.0003654573852446983,0.0014603038905404815,-0.00036510239040901985,0.0006100691401058044,0.00256871791843945,-0.0027231855841824415
0.018000000000022,22.744000000004814,0.0005094285689924082,0.0013694845421425082,-0.0011376276464860214,0.000956544729436721,0.002376916776436452,-0.002997094402503053,0.00037006643875331824,0.001412447516046077,-0.00042284987855994,0.0006129315330872957,0.0024609640080162976,-0.00263899999462619
0.021000000000025665,22.747000000004817,0.0005231820629021285,0.0013367202815791819,-0.0011969031736721576,0.0009496087006284465,0.0022792504905706896,-0.002923062906940114,0.00037467549226193823,0.0013645911415516724,-0.00048059736671086017,0.000615793926068787,0.002353210097593145,-0.002554814405069938
0.02400000000002933,22.75000000000482,0.0005369355568118488,0.0013039560210158555,-0.0012561787008582939,0.000942672671820172,0.0021815842047049274,-0.002849031411377175,0.0003792845457705582,0.0013167347670572677,-0.0005383448548617804,0.0006186563190502784,0.0022454561871699933,-0.002470628815513686
0.027000000000032998,22.753000000004825,0.0006233701648824229,0.0013570180320350677,-0.0012845884928408579,0.0009913260701989639,0.0021874832898373994,-0.0027959897853542743,0.0004641914808772905,0.0014512684253562556,-0.0007945033804527429,0.0006594900382568998,0.002345085384400941,-0.0026307680044117794
0.030000000000036664,22.75600000000483,0.0005415419813500998,0.0013164119734080098,-0.00131454092491914,0.0009050565948880757,0.002091775891520884,-0.002711959238396278,0.00037568520191952055,0.0014006803219733608,-0.0008128759493162341,0.0005831552017361273,0.002247408601857677,-0.002540142569072682
0.03300000000004033,22.759000000004832,0.00045971379781777674,0.0012758059147809522,-0.001344493356997422,0.0008187871195771874,0.001996068493204369,-0.0026279286914382815,0.0002871789229617507,0.001350092218590466,-0.0008312485181797254,0.0005068203652153549,0.0021497318193144134,-0.002449517133733585
0.036000000000044,22.762000000004836,0.00037788561428545367,0.0012351998561538945,-0.0013744457890757043,0.0007325176442662991,0.0019003610948878538,-0.0025438981444802847,0.00019867264400398078,0.0012995041152075713,-0.0008496210870432167,0.00043048552869458234,0.0020520550367711496,-0.0023588916983944873
0.03900000000004766,22.76500000000484,0.0002960574307531305,0.0011945937975268365,-0.0014043982211539865,0.0006462481689554108,0.0018046536965713388,-0.0024598675975222883,0.00011016636504621086,0.0012489160118246765,-0.0008679936559067079,0.0003541506921738098,0.001954378254227886,-0.00226826626305539
0.04200000000005133,22.768000000004843,0.00021422924722144625,0.001153987738899864,-0.0014343506532322838,0.000559978693645075,0.0017089462982549724,-0.0023758370505644506,2.1660086089091252e-05,0.001198327908441834,-0.0008863662247702541,0.00027781585565358113,0.0018567014716846897,-0.0021776408277163865
0.045000000000054996,22.771000000004847,0.00024028466991255615,0.0011277802386494447,-0.0014668787025412502,0.0005670223494856467,0.0016383466533795646,-0.002318664997189186,4.2980036577451285e-05,0.0011565563074631693,-0.0009140120864813894,0.00029331152956420535,0.0017704289703161214,-0.002102916213714758
0.04800000000005866,22.77400000000485,0.00026634009260366606,0.0011015727383990254,-0.0014994067518502166,0.0005740660053262184,0.0015677470085041566,-0.0022614929438139206,6.429998706581132e-05,0.0011147847064845045,-0.0009416579481925248,0.00030880720347482957,0.0016841564689475527,-0.002028191599713129
0.05100000000006233,22.777000000004854,0.000292395515294776,0.001075365238148606,-0.0015319348011591828,0.0005811096611667902,0.001497147363628749,-0.002204320890438656,8.561993755417135e-05,0.0010730131055058396,-0.0009693038099036601,0.0003243028773854538,0.0015978839675789844,-0.0019534669857115
0.054000000000065995,22.780000000004858,0.0003184509379858859,0.001049157737898187,-0.001564462850468149,0.0005881533170073619,0.0014265477187533411,-0.002147148837063391,0.0001069398880425314,0.0010312415045271748,-0.0009969496716147955,0.000339798551296078,0.0015116114662104161,-0.0018787423717098709
0.05700000000006966,22.78300000000486,0.00043274976982389675,0.0010864492931840605,-0.0015831062429244411,0.0006659818649818802,0.00142644048019433,-0.0021022342142710143,0.0002213289304935119,0.0011296614910377997,-0.0011978880346075228,0.0004126200573252605,0.0015797182416804033,-0.0019976408635080387
0.06000000000007333,22.786000000004865,0.00035649209414182083,0.0010533969172381171,-0.0015885109000438186,0.0005881084262336901,0.001358270718816709,-0.002035874991057074,0.00014235354720034538,0.0010881464205442725,-0.0011910171618886103,0.0003428371415901182,0.0015071082199605845,-0.001921789860472699
0.063000000000077,22.78900000000487,0.0002802344184597449,0.0010203445412921737,-0.0015939155571631958,0.0005102349874854999,0.0012901009574390878,-0.001969515767843134,6.337816390717893e-05,0.0010466313500507452,-0.001184146289169698,0.0002730542258549759,0.0014344981982407656,-0.0018459388574373595
0.06600000000008066,22.792000000004872,0.000203976742777669,0.0009872921653462303,-0.0015993202142825732,0.0004323615487373097,0.0012219311960614669,-0.0019031565446291938,-1.5597219385987573e-05,0.001005116279557218,-0.0011772754164507855,0.00020327131011983355,0.0013618881765209466,-0.0017700878544020197
0.06900000000008433,22.795000000004876,0.00012771906709559304,0.0009542397894002868,-0.0016047248714019507,0.0003544881099891195,0.0011537614346838457,-0.0018367973214152536,-9.457260267915409e-05,0.0009636012090636907,-0.0011704045437318732,0.0001334883943846912,0.001289278154801128,-0.00169423685136668
0.072000000000088,22.79800000000488,5.146139141416603e-05,0.000921187413454426,-0.0016101295285213728,0.00027661467124149165,0.0010855916733063554,-0.0017704380982014685,-0.0001735479859716646,0.0009220861385702101,-0.0011635336710130375,6.370547865010324e-05,0.0012166681330813597,-0.0016183858483314272
0.07500000000009166,22.801000000004883,8.479411277361225e-05,0.0009020789581483445,-0.0016231209851951182,0.00029372022289838814,0.0010395113384789702,-0.0017302735441085556,-0.00014174047680366207,0.0008884263651002582,-0.001169632183703309,8.754876157697806e-05,0.0011526105643810906,-0.0015571764666863189
0.07800000000009533,22.804000000004887,0.00011812683413305848,0.000882970502842263,-0.0016361124418688632,0.0003108257745552846,0.000993431003651585,-0.0016901089900156424,-0.00010993296763565946,0.0008547665916303063,-0.0011757306963935807,0.00011139204450385287,0.0010885529956808217,-0.0014959670850412101
0.08100000000009899,22.80700000000489,0.00015145955549250472,0.0008638620475361816,-0.0016491038985426082,0.000327931326212181,0.0009473506688241998,-0.0016499444359227295,-7.812545846765687e-05,0.0008211068181603544,-0.001181829209083852,0.00013523532743072767,0.0010244954269805525,-0.0014347577033961018
0.08400000000010266,22.810000000004894,0.00018479227685195098,0.0008447535922301001,-0.0016620953552163539,0.0003450368778690775,0.0009012703339968146,-0.0016097798818298166,-4.6317949299654304e-05,0.0007874470446904026,-0.0011879277217741234,0.00015907861035760248,0.0009604378582802836,-0.001373548321750993
0.08700000000010633,22.813000000004898,0.0003048049522571466,0.0008653593415426449,-0.001669901556777205,0.0004293243572483733,0.0008923048033318921,-0.0015683503718493343,7.517010538276163e-05,0.0008577957774510153,-0.0013546690425732977,0.00023975787733174388,0.001006007100834849,-0.0014704846650509043
0.09000000000010999,22.8160000000049,0.0002336673112997107,0.0008396746589387783,-0.0016587518817509537,0.00035970504244460804,0.0008473752870638708,-0.0015185686513921556,4.031775783245785e-06,0.0008253348348102271,-0.0013300600253493213,0.00017641092503190313,0.0009557357556532432,-0.0014095239705273206
0.09300000000011366,22.819000000004905,0.00016252967034227487,0.0008139899763349118,-0.0016476022067247022,0.0002900857276408428,0.0008024457707958494,-0.0014687869309349768,-6.710655381627e-05,0.000792873892169439,-0.0013054510081253446,0.0001130639727320624,0.0009054644104716373,-0.001348563276003737
0.09600000000011732,22.82200000000491,9.1392029384839e-05,0.0007883052937310452,-0.001636452531698451,0.00022046641283707748,0.0007575162545278281,-0.001419005210477798,-0.00013824488341578585,0.0007604129495286508,-0.001280841990901368,4.971702043222166e-05,0.0008551930652900314,-0.0012876025814801532
0.09900000000012099,22.825000000004913,2.0254388427403123e-05,0.0007626206111271787,-0.0016253028566721997,0.0001508470980333122,0.0007125867382598068,-0.0013692234900206195,-0.00020938321301530168,0.0007279520068878627,-0.0012562329736773912,-1.3629931867619095e-05,0.0008049217201084254,-0.0012266418869565695
0.10200000000012466,22.828000000004916,-5.08832525293875e-05,0.0007369359285233876,-0.0016141531816460165,8.122778323010439e-05,0.000667657221991892,-0.001319441769563582,-0.000280521542614169,0.0006954910642471127,-0.0012316239564535134,-7.697688416690896e-05,0.000754650374926849,-0.0011656811924330615
0.10500000000012832,22.83100000000492,-1.3049483602300356e-05,0.000724009844485644,-0.0016145220102663014,0.00010575613969267433,0.0006407280410684736,-0.001293555630181773,-0.00024213207498379691,0.0006695005844890039,-0.0012237345556479911,-4.7291877794436034e-05,0.0007093506899202925,-0.001117472122443054
0.10800000000013199,22.834000000004924,2.4784285324786813e-05,0.0007110837604479006,-0.0016148908388865864,0.0001302844961552443,0.0006137988601450553,-0.0012676694907999637,-0.00020374260735342485,0.0006435101047308949,-0.0012158451548424688,-1.760687142196309e-05,0.000664051004913736,-0.0010692630524530467
0.11100000000013566,22.837000000004927,6.261805425187398e-05,0.0006981576764101569,-0.0016152596675068714,0.00015481285261781424,0.0005868696792216369,-0.0012417833514181543,-0.00016535313972305276,0.000617519624972786,-0.0012079557540369465,1.2078134950509855e-05,0.0006187513199071796,-0.0010210539824630394
0.11400000000013932,22.84000000000493,0.00010045182317896114,0.0006852315923724134,-0.0016156284961271563,0.00017934120908038418,0.0005599404982982185,-0.0012158972120363454,-0.0001269636720926807,0.0005915291452146771,-0.0012000663532314242,4.176314132298279e-05,0.0005734516349006232,-0.0009728449124730322
0.11700000000014299,22.843000000004935,0.0002139288881802703,0.0006919067294050568,-0.0016139312327959894,0.0002574132078546975,0.0005427066140407021,-0.0011753681089379975,-1.0967050189011305e-05,0.0006421179390890345,-0.0013470433545425568,0.00011680100035250178,0.0006041061201516277,-0.001059278005519254
0.12000000000014666,22.84600000000494,0.00014759851458142354,0.0006723542022151956,-0.0015930182578480882,0.0001954724444788655,0.0005151893619383006,-0.001139086410189965,-7.565015169140421e-05,0.0006172564092917274,-0.0013111670688693289,5.962465064828409e-05,0.0005712658970341304,-0.0010108394064556015
0.12300000000015032,22.849000000004942,8.12681409825768e-05,0.0006528016750253344,-0.001572105282900187,0.0001335316811030335,0.00048767210983589903,-0.0011028047114419327,-0.0001403332531937971,0.0005923948794944204,-0.0012752907831961012,2.448300944066421e-06,0.0005384256739166331,-0.0009624008073919491
0.126000000000154,22.852000000004946,1.4937767383730043e-05,0.0006332491478354731,-0.0015511923079522857,7.159091772720151e-05,0.0004601548577334975,-0.0010665230126939002,-0.00020501635469618998,0.0005675333496971133,-0.0012394144975228733,-5.472804876015129e-05,0.0005055854507991358,-0.0009139622083282966
0.12900000000015766,22.85500000000495,-5.139260621511672e-05,0.000613696620645612,-0.0015302793330043843,9.650154351369506e-06,0.000432637605631096,-0.0010302413139458677,-0.00026969945619858285,0.0005426718198998062,-0.0012035382118496453,-0.000111904398464369,0.0004727452276816385,-0.0008655236092646443
0.13200000000016132,22.858000000004953,-0.00011772297981332955,0.0005941440934558186,-0.0015093663580565675,-5.229060902391778e-05,0.0004051203535287783,-0.000993959615197961,-0.00033438255770034135,0.00051781029010253,-0.0011676619261765356,-0.0001690807481680472,0.0004399050045641517,-0.0008170850102010573
0.135000000000165,22.861000000004957,-7.699301496443361e-05,0.0005860484721599439,-0.001502700889178334,-2.223922380165558e-05,0.0003917638120047997,-0.0009789356830652075,-0.00029192356509868706,0.0004981435292538442,-0.001151718522505663,-0.000135150173367766,0.0004088370938021027,-0.0007796869327667072
0.13800000000016865,22.86400000000496,-3.626305011553764e-05,0.0005779528508640692,-0.0014960354203001007,7.812161420606644e-06,0.000378407270480821,-0.000963911750932454,-0.00024946457249703277,0.00047847676840515844,-0.0011357751188347904,-0.00010121959856748484,0.00037776918304005373,-0.000742288855332357
0.14100000000017232,22.867000000004964,4.466914733358335e-06,0.0005698572295681945,-0.0014893699514218672,3.7863546642868856e-05,0.00036505072895684227,-0.0009488878187997004,-0.00020700557989537848,0.00045881000755647273,-0.0011198317151639178,-6.728902376720363e-05,0.00034670127227800465,-0.0007048907778980071
0.144000000000176,22.870000000004968,4.51968795822543e-05,0.0005617616082723199,-0.001482704482543634,6.791493186513108e-05,0.00035169418743286366,-0.0009338638866669468,-0.00016454658729372424,0.000439143246707787,-0.0011038883114930453,-3.335844896692246e-05,0.0003156333615159557,-0.000667492700463657
0.14700000000017965,22.87300000000497,0.0001466169787829224,0.000558213413557905,-0.0014738176640306745,0.00013387802437845545,0.00032779949003180445,-0.0008927250573292708,-5.991681579594692e-05,0.0004769477674672295,-0.0012408032174198432,2.9718465769841982e-05,0.0003369463905567769,-0.0007497217516237107
0.15000000000018332,22.876000000004975,8.464580380683563e-05,0.0005433401040919765,-0.0014482249412015088,7.870065205495257e-05,0.0003122648559379882,-0.0008665884228215417,-0.00011940274261928066,0.00045791710056094354,-0.001198644606999554,-2.183858607975922e-05,0.0003166252092255599,-0.0007109104373818159
0.153000000000187,22.87900000000498,2.2674628830748872e-05,0.0005284667946260479,-0.0014226322183723428,2.352327973144974e-05,0.00029673022184417203,-0.0008404517883138128,-0.0001788886694426144,0.0004388864336546575,-0.0011564859965792645,-7.339563792936039e-05,0.000296304027894343,-0.0006720991231399212
0.15600000000019065,22.882000000004982,-3.929654614533791e-05,0.0005135934851601194,-0.0013970394955431773,-3.1654092592053144e-05,0.0002811955877503558,-0.0008143151538060837,-0.00023837459626594815,0.0004198557667483715,-0.0011143273861589755,-0.00012495268977896158,0.00027598284656312605,-0.0006332878088980264
0.15900000000019432,22.885000000004986,-0.0001012677211214247,0.0004987201756941909,-0.0013714467727140116,-8.683146491555603e-05,0.0002656609536565396,-0.0007881785192983546,-0.0002978605230892819,0.0004008250998420855,-0.001072168775738686,-0.0001765097416285628,0.00025566166523190907,-0.0005944764946561316
