elapsed_time_sec,simulation_time_sec,LF_HAA_speed_rpm,LF_HFE_speed_rpm,LF_KFE_speed_rpm,LH_HAA_speed_rpm,LH_HFE_speed_rpm,LH_KFE_speed_rpm,RF_HAA_speed_rpm,RF_HFE_speed_rpm,RF_KFE_speed_rpm,RH_HAA_speed_rpm,RH_HFE_speed_rpm,RH_KFE_speed_rpm
0.0,29.748000000013374,0.036052894509118756,-0.015379816097570225,-0.006059417018051651,0.00509895101758529,0.013919774105919085,-0.018617943970743796,-0.056117048118341714,-0.012734096515395572,-0.009302871789471902,-0.02648859644290022,0.018297077811962284,-0.020990587606139675
0.0020000000000024443,29.750000000013376,0.035665914026856045,-0.037898946934187785,0.013624202494435859,4.450100720578752e-05,-0.0033994696324470743,-0.002174869731914612,-0.07234412696255788,-0.03368787399654083,0.00789902824567264,-0.03764138195970866,0.003323187849897157,-0.007947995863049792
0.0040000000000048885,29.75200000001338,0.035799940478837174,-0.06830660289438202,0.04638085431275183,-0.005162822143402842,-0.0257574375704647,0.02297170105313448,-0.0907177459819535,-0.062289928210769285,0.03777381494890342,-0.050188377969632325,-0.01641842336053819,0.01332920871352221
0.006000000000007333,29.75400000001338,0.043594046883937844,-0.062186884622484916,0.04206188366101822,0.0042577731996425545,-0.02581177648553137,0.028600913875765,-0.07796795122455817,-0.05816423748849564,0.03697278896231547,-0.039276167970577064,-0.01930876189041433,0.023649135831287613
0.008000000000009777,29.756000000013383,0.05352273626900227,-0.03369968121141327,0.02100110726023246,0.021397604295167662,-0.009064498712814223,0.019632610820177185,-0.044314633261878095,-0.033984189453631374,0.02313141583376473,-0.013688228197170159,-0.008749991760666737,0.024275223932736924
0.010000000000012221,29.758000000013386,0.05376513242241227,-0.022813089201158175,0.022569959151207367,0.026845647424769126,-0.0014730915304286209,0.019803603833337353,-0.02767910582372712,-0.024419787498564532,0.026653788933021505,-0.0025681325926519383,-0.003386888823268727,0.02728794782695539
0.012000000000014666,29.760000000013388,0.05264919690554083,-0.014618674865790115,0.020816229963422653,0.028951990832877625,0.004706205119459889,0.017094416695415622,-0.018509844568066588,-0.016796494978905806,0.025699729340524516,0.003235368403713512,0.0017710378331457805,0.025758714357515932
0.01400000000001711,29.76200000001339,0.05045170978860723,-0.008716431300377499,0.016014966978575282,0.028355346169860695,0.009329442123566798,0.012306743052031565,-0.015430465392636553,-0.010862950442180183,0.020755105603579897,0.004693408204655354,0.006336436283083645,0.020820767825522776
0.016000000000019554,29.764000000013393,0.04744403265440274,-0.0047995288668049975,0.00844701383604037,0.025617814948495736,0.012284950412118821,0.006103871678755385,-0.0172763609549863,-0.006442465436077733,0.012290376411362752,0.0026416023939126207,0.009988693904607535,0.013425859664024263
0.018000000000022,29.766000000013396,0.043942566427818956,-0.00260837448720932,-0.001640694402676681,0.021287416504411006,0.013522013024065534,-0.0010144110725129774,-0.022999837206410065,-0.0034076474641285947,0.0007541239649073846,-0.0021435060811098184,0.012475856629173726,0.004362356524904802
0.020000000000024443,29.768000000013398,0.04027686797095228,-0.0019220806107254306,-0.014025642752543439,0.015878346691062268,0.013041462038812021,-0.008681690157606635,-0.03167229999885772,-0.0016643853134591707,-0.01343191023008957,-0.008956189491377525,0.013612570170323194,-0.005729521037864101
0.022000000000026887,29.7700000000134,0.037315757400397775,-0.005318028402776794,-0.023305381593702358,0.010247438232925744,0.009145321073256866,-0.013186289863628091,-0.042735516014147074,-0.003891072017510567,-0.024658128304372563,-0.017194376960087625,0.011547247999902943,-0.012893613024551224
0.02400000000002933,29.772000000013403,0.03587340288291188,-0.01763589176752948,-0.019627594838640496,0.005076295209204382,-0.0010920370551833819,-0.008159806189810782,-0.056283773796333314,-0.014907376781983879,-0.02306227241479928,-0.02673750869199374,0.003338589426951381,-0.010760253372430821
0.026000000000031775,29.774000000013405,0.03549808308766618,-0.03996907942959249,0.0001768186377519554,2.472082843019708e-05,-0.017973871041900742,0.007944637602154985,-0.07250349550783461,-0.035686356738585896,-0.0057189708376620685,-0.037876978815448575,-0.011209562753794344,0.0019685417066749983
0.02800000000003422,29.776000000013408,0.035648605156277796,-0.07019086347464681,0.033083860491654384,-0.00518095549551444,-0.03983681751250137,0.03268185554428962,-0.09086881992125159,-0.06411412005178121,0.02432767608526446,-0.050403574876348924,-0.03046808111718582,0.022861631987952182
0.030000000000036664,29.77800000001341,0.043450860602499405,-0.06402996248291573,0.029225192937943154,0.004220436098355797,-0.03937959853952699,0.03790136841886081,-0.07814056867739884,-0.059946204609359975,0.02398350571593088,-0.03949039226835995,-0.03284403151542836,0.03276807170572534
0.03200000000003911,29.780000000013413,0.05338672371150957,-0.0355186310414464,0.008939285791186784,0.021335854969986735,-0.021882805216425105,0.02834655023598056,-0.04451562958929441,-0.03573341115580133,0.010900364806829639,-0.013903737067388955,-0.021523001659708354,0.03278841013529837
0.03400000000004155,29.782000000013415,0.05364742348050702,-0.024479042694577458,0.01123778726789946,0.026780062117858588,-0.013352675594254494,0.027770017668012403,-0.02787864772003124,-0.02601495483737937,0.015151604754471986,-0.0027627359210682582,-0.01521623521811169,0.035052520761673284
0.036000000000044,29.784000000013418,0.05254524012345722,-0.016119795237509924,0.010073607888136205,0.028886690293321547,-0.0063557983502729645,0.02442320123817578,-0.018703968682784587,-0.01822798980799024,0.014790381857334977,0.0030569634431575265,-0.009238990111397442,0.03288999727542602
0.03800000000004644,29.78600000001342,0.05035781672175185,-0.010047954631167056,0.0057368818829760014,0.02829362662135417,-0.0010345060338633747,0.019105363633121382,-0.015616858909004014,-0.012127596770105456,0.01031646958288373,0.004526594943011725,-0.003976218529153412,0.027430152491928293
0.040000000000048885,29.788000000013422,0.047357374877399834,-0.005962504743149866,-0.0014776752353420817,0.0255622656596986,0.002503633677895469,0.012474514331116968,-0.017453891191003504,-0.007542431563619953,0.002213316072718464,0.0024821966274769904,0.0002561716007035627,0.019618298132458495
0.04200000000005133,29.790000000013425,0.04386100890584476,-0.003608660016752432,-0.011310589212631105,0.02123994195413908,0.004213181745929181,0.005023934671145157,-0.023168329755987645,-0.004349518994770424,-0.009058678539966647,-0.0022992296239180356,0.003212014572847164,0.010235327965762741
0.044000000000053774,29.792000000013427,0.04019884016285331,-0.002769415222563865,-0.023528005216043583,0.015840208204978074,0.00410116509704979,-0.0028873397883698664,-0.03183234242237282,-0.0024583114637790233,-0.023067014431727113,-0.009111475193062825,0.004712575702036621,-8.671171963872817e-05
0.04600000000005622,29.79400000001343,0.03724091432708237,-0.00602565629349425,-0.03269141625343764,0.010217361801522405,0.0005097165986600298,-0.007590057932750064,-0.04288893374677551,-0.004550577905299733,-0.034166365487070215,-0.017350014723700135,0.002946703675618734,-0.00743482493235416
